endereco,leiloeiro,link_do_processo,tipo_leilao,url,valor
"Rua Mário Augusto do Carmo, 50, Jardim Avelino, São Paulo, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/vagas-de-garagem/sp/sao-paulo/vaga-de-garagem-10-m2-unid-97-no-condominio-ed-pietra-victoria-sao-paulo-sp-j111844?utm_source=megaleiloes&utm_medium=link&utm_campaign=vaga-de-garagem-10-m2-unid-97-no-condominio-ed-pietra-victoria-sao-paulo-sp-j111844&utm_term=J111844&utm_content=link,31970.53
"Rua Ângela Castione Cortelazzi, 195, Residencial Alvorada, Birigui, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/birigui/direitos-sobre-apartamento-79-m2-02-vagas-residencial-alvorada-birigui-sp-j111845?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-apartamento-79-m2-02-vagas-residencial-alvorada-birigui-sp-j111845&utm_term=J111845&utm_content=link,144835.18
"Rua Redenção da Serra, 80, CDHU, Cachoeira Paulista, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/cachoeira-paulista/direitos-sobre-casa-39-m2-area-construida-e-191-m2-area-total-cachoeira-paulista-sp-j111853?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-casa-39-m2-area-construida-e-191-m2-area-total-cachoeira-paulista-sp-j111853&utm_term=J111853&utm_content=link,118067.56
"Rua Padre Detino Della Parte, Lt 03 da Qd 93, Jardim Suarão, Itanhaém, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/sp/itanhaem/terreno-no-litoral-com-300-m2-jardim-suarao-itanhaem-sp-j111394?utm_source=megaleiloes&utm_medium=link&utm_campaign=terreno-no-litoral-com-300-m2-jardim-suarao-itanhaem-sp-j111394&utm_term=J111394&utm_content=link,15823.34
"Rua Professor Francisco Marques Oliveira Jr., 45, Jardim Três Corações, São Paulo, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/sao-paulo/direitos-sobre-casa-80-m2-jardim-tres-coracoes-sao-paulo-sp-j112461?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-casa-80-m2-jardim-tres-coracoes-sao-paulo-sp-j112461&utm_term=J112461&utm_content=link,308360.54
"Rua Serra de Bragança, 825, Vila Gomes Cardim, São Paulo, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-paulo/apartamento-52-m2-02-vagas-vila-gomes-cardim-sao-paulo-sp-j112293?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-52-m2-02-vagas-vila-gomes-cardim-sao-paulo-sp-j112293&utm_term=J112293&utm_content=link,455606.24
"Rua José Bernardi, São Gotardo, São Miguel do Oeste, SC",Thaís Cristina Kich,N/A,Judicial,https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/sc/sao-miguel-do-oeste/terreno-com-465-m2-sao-gotardo-sao-miguel-do-oeste-sc-j111338?utm_source=megaleiloes&utm_medium=link&utm_campaign=terreno-com-465-m2-sao-gotardo-sao-miguel-do-oeste-sc-j111338&utm_term=J111338&utm_content=link,305023.25
"Rua dos Italianos, 158, Jardim Dom América, São Sebastião do Paraíso, MG",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/mg/sao-sebastiao-do-paraiso/nua-propriedade-sobre-casa-jardim-dom-america-sao-sebastiao-do-paraiso-mg-j111392?utm_source=megaleiloes&utm_medium=link&utm_campaign=nua-propriedade-sobre-casa-jardim-dom-america-sao-sebastiao-do-paraiso-mg-j111392&utm_term=J111392&utm_content=link,226892.37
"Rua Francisco Peixoto Bizerra, 496, Jardim Brasil (Zona Norte), São Paulo, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/sp/sao-paulo/terreno-230-m2-jardim-brasil-sao-paulo-sp-j112460?utm_source=megaleiloes&utm_medium=link&utm_campaign=terreno-230-m2-jardim-brasil-sao-paulo-sp-j112460&utm_term=J112460&utm_content=link,254835.28
"Rua Visconde do Rio Branco, 250, Centro, São Vicente, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-vicente/direitos-sobre-apartamento-55-m2-01-vaga-praia-do-gonzaguinha-sao-vicente-sp-j112462?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-apartamento-55-m2-01-vaga-praia-do-gonzaguinha-sao-vicente-sp-j112462&utm_term=J112462&utm_content=link,253190.94
