url,avaliacao,lance_minimo,endereco,metragem_util,metragem_total,descricao,matricula,observacoes,total_imagens,processo_link,imagens,imagens_full,descricao_imovel,edital_do_leilao,onus,imagem_1,imagem_2,imagem_3
https://www.portalbayit.com.br/lote/apartamento-fortaleza-ce/210/,120389.75,"('93229.82',)","Rua Capitão Clóvis Maia,  60 - Alto da Balança - Fortaleza - CE",,"67,72m²",,,,3,,,,"Apartamento – Fortaleza/CE
Imóvel localizado na Rua Capitão Clóvis Maia, nº 60, Apartamento n° 102, Bloco B – Edifício Eucimar Rabelo Residencial – Bairro Alto da Balança – Fortaleza/CE.
Destaques do Imóvel:
2 Dormitórios
Banheiro
Sala
Cozinha
Área de serviço
Área privativa: 65,37m²
Área total: 67,72m²
Ideal para quem busca praticidade e fácil acesso a uma das regiões mais tradicionais da capital cearense.",https://www.portalbayit.com.br/download/55977afe-4bbe-41da-8caa-b0e0b003f05f.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/1ca8ab77-77d1-4798-84e0-2f314a1aca44.jpeg,https://www.portalbayit.com.br/imagens-center/770x620/1ca8ab77-77d1-4798-84e0-2f314a1aca44.jpeg,https://www.portalbayit.com.br/imagens-complete/605x487/1ca8ab77-77d1-4798-84e0-2f314a1aca44.jpeg
https://www.portalbayit.com.br/lote/casa-em-rio-branco-ac/6/,415000.00,"('124500.00',)","Rua Venezuela,  704 - Cadeia Velha - Rio Branco - AC",,,"Uma área de terra urbana destacada de outra porção maior, situada no ""Conjunto Habitasa"", 1º Distrito desta Capital, com área de 360,00m2 ou seja medindo 12,00m de frente ou largura por 30,00m de fundos ou comprimento, limitando-se pela frente com a Rua Venezuela; pelo lado direito com Francisco Rodrigues de Lima; pelo lado esquerdo, com João Gomes Vasconcelos; e pelos fundos com terreno de Waldomiro Pereira de Moura.",nº 1.663 do 1º Cartório de Registro de Imóveis de Rio Branco-AC .,,3,,,,"LOTE 01) IMOVEL: Uma área de terra urbana destacada de outra porção maior, situada no ""Conjunto Habitasa"", 1º Distrito desta Capital, com área de 360,00m2 ou seja medindo 12,00m de frente ou largura por 30,00m de fundos ou comprimento, limitando-se pela frente com a Rua Venezuela; pelo lado direito com Francisco Rodrigues de Lima; pelo lado esquerdo, com João Gomes Vasconcelos; e pelos fundos com terreno de Waldomiro Pereira de Moura.
Matrícula nº 1.663 do 1º Cartório de Registro de Imóveis de Rio Branco-AC .
Avaliação : R$ 415.000,00 (quatrocentos e quinze mil reais)
Ônus: OCUPADO.",https://www.portalbayit.com.br/download/fc557851-255e-4127-b0c9-f561eacffda2.pdf,OCUPADO.,https://www.portalbayit.com.br/imagens/1300x1300/8fdbba02-fd4d-4bf9-af24-e6bb02330fde.png,https://www.portalbayit.com.br/imagens-center/770x620/8fdbba02-fd4d-4bf9-af24-e6bb02330fde.png,https://www.portalbayit.com.br/imagens-complete/605x487/8fdbba02-fd4d-4bf9-af24-e6bb02330fde.png
https://www.portalbayit.com.br/lote/terreno-itatiba-sp/146/,233500.00,"('140525.56',)",,,,,nº 052480,,3,,,,"Um terreno designado Lote 12 da Quadra G do Loteamento Villagio Pio Verde, localizado na avenida João Furtado Gouveia Sobrinho, Alto da Santa Cruz, nesta cidade e comarca de itatiba, em Macrozona de Expansão Urbana, na Zona Predominantemente Residencial, com a seguinte descrição perimétrica: 18,00 metros de frente para a Rua 03, 28,00 metros do lado direito, confrontando com o lote 11, 28,00 metros do lado esquerdo, confrontando com lote 13, 18,00 metros nos fundos, confrontando com o lote 01, encerrando a área de 504,00m2.
Matrícula nº 052480
do Cartório de Registro de Imóveis de Itatiba/SP.",https://www.portalbayit.com.br/download/75d4d561-0d38-416c-95b8-53323e42ba56.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/26f41298-12f5-4096-ae7f-8c5a7fb59152.jpg,https://www.portalbayit.com.br/imagens-center/770x620/26f41298-12f5-4096-ae7f-8c5a7fb59152.jpg,https://www.portalbayit.com.br/imagens-complete/605x487/26f41298-12f5-4096-ae7f-8c5a7fb59152.jpg
https://www.portalbayit.com.br/lote/casa-em-cuiaba-mt/7/,257280.00,"('77184.00',)","Rua Mangabeira,  87 - Jardim Gramado - Cuiabá - MT",,,"Imovel residencial edificado em lote de terreno urbano designado sob nº 13-C, da quadra nº13, localizado no loteamento Jardim Gramado, distrito do Coxipó, da Ponte, Cuiabá-MT, com 330,00mts2, apresentando as seguintes edida e confrontações: frente 10,00 metros para a rua 12, lado direito com/30,00 metros para o lote 13-D, lado esquerdo com 30,00 metros para o lote I: B, fundos 10,00 metros com a prop.SR. LUCIO GOMES, Havido por compra de GUIZA! DI JUNIOR ASSESSORIA IMOBILIÁRIA LTDA, conforme escritura pública de compra e venda, lavrada às fls 65V/72, do livro 254-A, em 31.03.86, no Cartório do 2º Oficio desta Capital-MT.DIVISÃO INTERNA: Sala, 02 dormitórios, banheiro e cozinha, totalizando 39,58mts2(totalizando de área construída Casa tipo 2D. PROPRIETÁRIO: JAÚ S/A-CONSTRUTORA E INCORPORADORA, com sede em São Paulo-SP, e filial à av. Getúlio Vargas 1.021, nesta Capital -MT, inscrita no CGC/MF sob nº 61.156.741/0001-56, neste ato representada pelo SR. AILTON MOURA ASSUMPÇÃO, brasileiro, casado, engenheiro, RG nº 4.842.790.SSP.SP, CPF 762.379.748.79, residente e domiciliado nesta Capital-MT, Conf. procuração lavrada às fls 26, do livro 947, em 19.08.86, no Cartório do 24º Tabelião Bel. José Ferreira Alves Cyrillo, em São Paulo-SP, neste ato o SR. AILTON MOURA ASSUMPÇÃO, está sendo representado pelo SR: ROBERTO DIONISIO DA COSTA, brasileiro, casado, economista, RG nº 6.059.523.SSP-SP, CPF 661.412.908.25, conforme procuração de 22.02.88, lavrada às fls 03V do livro 1.072 do 16º Tabelionato de Notas de São Paulo SP.","nº 36.899 do 5º Serviço Notarial e Registro de Imóveis da 2º circunscrição imobiliária da Comarca de Cuiabá - MT. Avaliação : R$ 257.280,00 (duzentos e cinquenta e sete mil, duzentos e oitenta reais)",,3,,,,"LOTE 02) IMOVEL: Imovel residencial edificado em lote de terreno urbano designado sob nº 13-C, da quadra nº13, localizado no loteamento Jardim Gramado, distrito do Coxipó, da Ponte, Cuiabá-MT, com 330,00mts2, apresentando as seguintes edida e confrontações: frente 10,00 metros para a rua 12, lado direito com/30,00 metros para o lote 13-D, lado esquerdo com 30,00 metros para o lote I: B, fundos 10,00 metros com a prop.SR. LUCIO GOMES, Havido por compra de GUIZA! DI JUNIOR ASSESSORIA IMOBILIÁRIA LTDA, conforme escritura pública de compra e venda, lavrada às fls 65V/72, do livro 254-A, em 31.03.86, no Cartório do 2º Oficio desta Capital-MT.DIVISÃO INTERNA: Sala, 02 dormitórios, banheiro e cozinha, totalizando 39,58mts2(totalizando de área construída Casa tipo 2D. PROPRIETÁRIO: JAÚ S/A-CONSTRUTORA E INCORPORADORA, com sede em São Paulo-SP, e filial à av. Getúlio Vargas 1.021, nesta Capital -MT, inscrita no CGC/MF sob nº 61.156.741/0001-56, neste ato representada pelo SR. AILTON MOURA ASSUMPÇÃO, brasileiro, casado, engenheiro, RG nº 4.842.790.SSP.SP, CPF 762.379.748.79, residente e domiciliado nesta Capital-MT, Conf. procuração lavrada às fls 26, do livro 947, em 19.08.86, no Cartório do 24º Tabelião Bel. José Ferreira Alves Cyrillo, em São Paulo-SP, neste ato o SR. AILTON MOURA ASSUMPÇÃO, está sendo representado pelo SR: ROBERTO DIONISIO DA COSTA, brasileiro, casado, economista, RG nº 6.059.523.SSP-SP, CPF 661.412.908.25, conforme procuração de 22.02.88, lavrada às fls 03V do livro 1.072 do 16º Tabelionato de Notas de São Paulo SP.
Matrícula nº 36.899 do 5º Serviço Notarial e Registro de Imóveis da 2º circunscrição imobiliária da Comarca de Cuiabá - MT. Avaliação : R$ 257.280,00 (duzentos e cinquenta e sete mil, duzentos e oitenta reais)
Ônus: OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvel em trâmite na 5ª vara cível de Cuiabá/MT sob o nº 1021046-19.2023.8.11.0041.",https://www.portalbayit.com.br/download/bcbc4885-5dc7-4677-bcb5-38043d63a280.pdf,OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvel em trâmite na 5ª vara cível de Cuiabá/MT sob o nº 1021046-19.2023.8.11.0041.,https://www.portalbayit.com.br/imagens/1300x1300/d3015b52-e4b1-42a9-bea8-03b0afca982c.png,https://www.portalbayit.com.br/imagens-center/770x620/d3015b52-e4b1-42a9-bea8-03b0afca982c.png,https://www.portalbayit.com.br/imagens-complete/605x487/d3015b52-e4b1-42a9-bea8-03b0afca982c.png
https://www.portalbayit.com.br/lote/casa-em-novo-hamburgo-rs/21/,320009.00,"('96002.70',)","Rua La Salle,  150 - Canudos - Novo Hamburgo - RS",,,"Um terreno sem benfeitorias, situado no Bairro Canudos, no quarteirão indefinido formado pelas ruas Marconi, La Salle e ícaro, constituído do lote nº13 da quadra 72, do loteamento “Arnildo Jacob Loeblein”, medindo no norte, 12 metros de largura, com frente ao alinhamento da rua La Salle, lado par, fundos ao sul, com igual largura, divide com propriedade de Arnildo Jacob Loeblein, a leste mede 30 metros de frente aos fundos e divide com propriedade de Arnildo Jacob Loeblein, e ao oeste com igual comprimento, divide com propriedade de Arnildo Jacob Loeblein, distante 42 metros da esquina com a rua ícaro, que lhe fica a Oeste. Matrícula nº 31.107 do 1º Cartório de Registro de Imóveis de Novo Hamburgo/RS. Avaliação : R$ 320.009,00 (trezentos e vinte mil, e nove reais) Ônus: OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvele m trâmite na 3ª vara cível de Novo Hamburgo/RS sob o nº 5006926-58.2021.8.21.0019.","nº 31.107 do 1º Cartório de Registro de Imóveis de Novo Hamburgo/RS. Avaliação : R$ 320.009,00 (trezentos e vinte mil, e nove reais) Ônus: OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvele m trâmite na 3ª vara cível de Novo Hamburgo/RS sob o nº 5006926-58.2021.8.21.0019.",,3,,,,"LOTE 16) IMOVEL: Um terreno sem benfeitorias, situado no Bairro Canudos, no quarteirão indefinido formado pelas ruas Marconi, La Salle e ícaro, constituído do lote nº13 da quadra 72, do loteamento “Arnildo Jacob Loeblein”, medindo no norte, 12 metros de largura, com frente ao alinhamento da rua La Salle, lado par, fundos ao sul, com igual largura, divide com propriedade de Arnildo Jacob Loeblein, a leste mede 30 metros de frente aos fundos e divide com propriedade de Arnildo Jacob Loeblein, e ao oeste com igual comprimento, divide com propriedade de Arnildo Jacob Loeblein, distante 42 metros da esquina com a rua ícaro, que lhe fica a Oeste. Matrícula nº 31.107 do 1º Cartório de Registro de Imóveis de Novo Hamburgo/RS. Avaliação : R$ 320.009,00 (trezentos e vinte mil, e nove reais) Ônus: OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvele m trâmite na 3ª vara cível de Novo Hamburgo/RS sob o nº 5006926-58.2021.8.21.0019.",https://www.portalbayit.com.br/download/04b4a9c1-fe0e-4509-930a-f479d26442e3.pdf,OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvele m trâmite na 3ª vara cível de Novo Hamburgo/RS sob o nº 5006926-58.2021.8.21.0019.,https://www.portalbayit.com.br/imagens/1300x1300/947b3714-caec-4ba7-bece-dd86e7df83ec.png,https://www.portalbayit.com.br/imagens-center/770x620/947b3714-caec-4ba7-bece-dd86e7df83ec.png,https://www.portalbayit.com.br/imagens-complete/605x487/947b3714-caec-4ba7-bece-dd86e7df83ec.png
https://www.portalbayit.com.br/lote/apartamento-fortaleza-ce/171/,175954.25,"('136258.97',)","Rua Capitão Clóvis Maia,  60 - Alto da Balança - Fortaleza - CE",,"100,59m²",,,,3,,,,"Apartamento em Fortaleza/CE
Localizado na Rua Capitão Clóvis Maia, nº 60 – Apartamento n° 103, 1° pavimento do Bloco A – Edifício Eucimar Rabelo Residencial – Bairro Alto da Balança – Fortaleza/CE.
Destaques do Imóvel:
3 Dormitórios
Banheiro
Sala
Cozinha
Área de serviço
Área privativa: 95,40m²
Área total: 100,59m²
Excelente oportunidade para quem busca morar com tranquilidade em região urbana consolidada da capital cearense.",https://www.portalbayit.com.br/download/9e6e558c-d315-42da-b3a3-edb123d7d554.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/b53b1f6f-287d-479e-977c-f08454716278.jpeg,https://www.portalbayit.com.br/imagens-center/770x620/b53b1f6f-287d-479e-977c-f08454716278.jpeg,https://www.portalbayit.com.br/imagens-complete/605x487/b53b1f6f-287d-479e-977c-f08454716278.jpeg
https://www.portalbayit.com.br/lote/apartamento-fortaleza-ce/208/,120389.75,"('93229.82',)","Rua Capitão Clóvis Maia,  60 - Alto da Balança - Fortaleza - CE",,"67,72m²",,,,3,,,,"Apartamento – Fortaleza/CE
Imóvel localizado na Rua Capitão Clóvis Maia, nº 60, Apartamento n° 02, Bloco B, Térreo – Edifício Eucimar Rabelo Residencial – Bairro Alto da Balança – Fortaleza/CE.
Destaques do Imóvel:
2 Dormitórios
Banheiro
Sala
Cozinha
Área de serviço
Área privativa: 65,37m²
Área total: 67,72m²
Ideal para quem busca praticidade e fácil acesso a uma das regiões mais tradicionais da capital cearense.",https://www.portalbayit.com.br/download/00c3c592-d25d-4e2e-b01d-0ebd91e50bdc.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/fb51c086-d7d6-40b6-a356-317a925d18a6.jpeg,https://www.portalbayit.com.br/imagens-center/770x620/fb51c086-d7d6-40b6-a356-317a925d18a6.jpeg,https://www.portalbayit.com.br/imagens-complete/605x487/fb51c086-d7d6-40b6-a356-317a925d18a6.jpeg
https://www.portalbayit.com.br/lote/apartamento-fortaleza-ce/207/,120389.75,"('93229.82',)","Rua Capitão Clóvis Maia,  60 - Alto da Balança - Fortaleza - CE",,,,,,3,,,,"Apartamento – Fortaleza/CE
Imóvel localizado na Rua Capitão Clóvis Maia, nº 60, Apartamento n° 01, Bloco B, Térreo – Edifício Eucimar Rabelo Residencial – Bairro Alto da Balança – Fortaleza/CE.
Destaques do Imóvel:
2 Dormitórios
Banheiro
Sala
Cozinha
Área de serviço
Área privativa: 65,37m²
Área total: 67,72m²
Ideal para quem busca praticidade e fácil acesso a uma das regiões mais tradicionais da capital cearense.",https://www.portalbayit.com.br/download/4651acc7-9fa0-4bb8-a685-987d36266882.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/15c29416-2477-4a4c-b647-fb2708c8ee6b.jpeg,https://www.portalbayit.com.br/imagens-center/770x620/15c29416-2477-4a4c-b647-fb2708c8ee6b.jpeg,https://www.portalbayit.com.br/imagens-complete/605x487/15c29416-2477-4a4c-b647-fb2708c8ee6b.jpeg
https://www.portalbayit.com.br/lote/apartamento-sao-paulo-sp/269/,610000.00,"('490000.00',)","Avenida Dezenove de Janeiro,  567 - Vila Carrão - São Paulo - SP",,"110,95m²",,,,3,,,,"Apartamento em São Paulo/SP
Localizado na Avenida Dezenove de Janeiro, nº 567, Apto 188, 18º pavimento, Torre 1, Vila Carrão – São Paulo/SP.  Condomínio Varandas Vila Carrão.
Destaques do Imóvel:
Sala
Dormitórios
Banheiro
Cozinha
Área de serviço
1 Vaga de garagem
Área total: 110,95m²
Área privativa: 70,00m²
Estrutura de Lazer e Conforto no Condomínio:
Portaria 24h
Elevador
Academia
Piscina
Quadra esportiva
Salão de festas
Gás encanado
Churrasqueira
Playground
Sauna
Salão de jogos
Brinquedoteca
Área verde
Localização estratégica na Vila Carrão, próxima ao Terminal Vila Carrão, escolas, UBS e demais pontos de conveniência da região. Ideal para quem busca conforto, segurança e fácil acesso aos serviços da cidade.",https://www.portalbayit.com.br/download/082a6908-e702-4302-9a77-dbfb26a78f74.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/f67d5e39-aadb-47b0-954e-b9ee521e416e.jpg,https://www.portalbayit.com.br/imagens-center/770x620/f67d5e39-aadb-47b0-954e-b9ee521e416e.jpg,https://www.portalbayit.com.br/imagens-complete/605x487/f67d5e39-aadb-47b0-954e-b9ee521e416e.jpg
https://www.portalbayit.com.br/lote/apartamento-fortaleza-ce/190/,333387.00,"('258174.89',)","Rua Capitão Clóvis Maia,  60 - Alto da Balança - Fortaleza - CE",,"201,15m²",,,,3,,,,"Apartamento em Fortaleza/CE
Localizado na Rua Capitão Clóvis Maia, nº 60 – Apartamento n° 301, 3° pavimento do Bloco A – Edifício Eucimar Rabelo Residencial – Bairro Alto da Balança – Fortaleza/CE.
Destaques do Imóvel:
3 Dormitórios
Banheiro
Sala
Cozinha
Área de serviço
Área privativa: 180,40m²
Área total: 201,15m²
Amplo apartamento em região residencial consolidada de Fortaleza, ideal para quem busca conforto e espaço em um imóvel exclusivo.",https://www.portalbayit.com.br/download/15ec0ff0-481b-45ac-99d5-8ffbb5f0f56e.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/15c29416-2477-4a4c-b647-fb2708c8ee6b.jpeg,https://www.portalbayit.com.br/imagens-center/770x620/15c29416-2477-4a4c-b647-fb2708c8ee6b.jpeg,https://www.portalbayit.com.br/imagens-complete/605x487/15c29416-2477-4a4c-b647-fb2708c8ee6b.jpeg
