url,avaliacao,lance_minimo,endereco,metragem_util,metragem_total,descricao,matricula,observacoes,total_imagens,processo_link,imagens,imagens_full,descricao_imovel,edital_do_leilao,onus,imagem_1,imagem_2,imagem_3
https://www.portalbayit.com.br/lote/casa-campina-grande-pb/226/,882000.00,"('485100.00',)","Rua Fernando Barbosa de Melo,  227 - Catolé - Campina Grande - PB",,,,,,3,,,,"Casa com Jardim no Catolé – Campina Grande/PB
Imóvel localizado na Rua Fernando Barbosa de Melo, nº 227 – Lote 01 da Quadra A – Loteamento Granja Provisão II – Campina Grande/PB.
Destaques do Imóvel:
Sala
2 Dormitórios
Banheiro
Cozinha
Área de serviço",https://www.portalbayit.com.br/download/fb84b339-7db8-4334-85a7-1d43dd128f5e.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/bc6f0546-0d25-4802-9929-36b79305ef1c.jpg,https://www.portalbayit.com.br/imagens-center/770x620/bc6f0546-0d25-4802-9929-36b79305ef1c.jpg,https://www.portalbayit.com.br/imagens-complete/605x487/bc6f0546-0d25-4802-9929-36b79305ef1c.jpg
https://www.portalbayit.com.br/lote/casa-bauru-sp/233/,340000.00,"('200000.00',)","Rua Agenor Martins Vieira,  2-93 - Residencial Nova Bauru - Bauru - SP",,,,,,3,,,,"Casa no Residencial Nova Bauru – Bauru/SP
Imóvel localizado na Rua Agenor Martins Vieira, nº 2-93 – Residencial Nova Bauru – Bauru/SP.
Destaques do Imóvel:
Sala
Dormitórios
Banheiro
Cozinha
Lavanderia
Quintal com churrasqueira",https://www.portalbayit.com.br/download/9e288cb2-5f5b-410f-a618-88356b1f52de.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/4e58b303-2314-4d13-be45-62480faad1cf.jpg,https://www.portalbayit.com.br/imagens-center/770x620/4e58b303-2314-4d13-be45-62480faad1cf.jpg,https://www.portalbayit.com.br/imagens-complete/605x487/4e58b303-2314-4d13-be45-62480faad1cf.jpg
https://www.portalbayit.com.br/lote/terreno-itatiba-sp/148/,233500.00,"('139605.45',)",,,,,nº 052488,,3,,,,"Um terreno designado Lote 1 da Quadra 1 do Loteamento Villagio Pio Verde, localizado na avenida João Furtado Gouveia Sobrinho, Alto da Santa Cruz, nesta cidade e comarca de itatiba, em Macrozona de Expansão Urbana, na Zona Predominantemente Residencial, com a seguinte descrição perimétrica: 19,00 metros de frente para a Rua 03,31,27 metros do lado direito, sendo em dois segmentos de 20,40 metros em reta e 10,87 metros em curva, confrontando com a via de Pedestre, 28,00 metros do lado esquerdo confrontando com o lote 02, 11,24 metros nos fundos, confrontando com a via de pedestre, encerrando a área de 500,63m2.
Matrícula nº 052488
do Cartório de Registro de Imóveis de Itatiba/SP",https://www.portalbayit.com.br/download/21d7ec97-9d85-4aad-a89d-517e33d52ee8.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/f72986af-d64c-4956-b3ee-b3170ec981a1.jpg,https://www.portalbayit.com.br/imagens-center/770x620/f72986af-d64c-4956-b3ee-b3170ec981a1.jpg,https://www.portalbayit.com.br/imagens-complete/605x487/f72986af-d64c-4956-b3ee-b3170ec981a1.jpg
https://www.portalbayit.com.br/lote/casa-em-novo-hamburgo-rs/21/,320009.00,"('96002.70',)","Rua La Salle,  150 - Canudos - Novo Hamburgo - RS",,,"Um terreno sem benfeitorias, situado no Bairro Canudos, no quarteirão indefinido formado pelas ruas Marconi, La Salle e ícaro, constituído do lote nº13 da quadra 72, do loteamento “Arnildo Jacob Loeblein”, medindo no norte, 12 metros de largura, com frente ao alinhamento da rua La Salle, lado par, fundos ao sul, com igual largura, divide com propriedade de Arnildo Jacob Loeblein, a leste mede 30 metros de frente aos fundos e divide com propriedade de Arnildo Jacob Loeblein, e ao oeste com igual comprimento, divide com propriedade de Arnildo Jacob Loeblein, distante 42 metros da esquina com a rua ícaro, que lhe fica a Oeste. Matrícula nº 31.107 do 1º Cartório de Registro de Imóveis de Novo Hamburgo/RS. Avaliação : R$ 320.009,00 (trezentos e vinte mil, e nove reais) Ônus: OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvele m trâmite na 3ª vara cível de Novo Hamburgo/RS sob o nº 5006926-58.2021.8.21.0019.","nº 31.107 do 1º Cartório de Registro de Imóveis de Novo Hamburgo/RS. Avaliação : R$ 320.009,00 (trezentos e vinte mil, e nove reais) Ônus: OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvele m trâmite na 3ª vara cível de Novo Hamburgo/RS sob o nº 5006926-58.2021.8.21.0019.",,3,,,,"LOTE 16) IMOVEL: Um terreno sem benfeitorias, situado no Bairro Canudos, no quarteirão indefinido formado pelas ruas Marconi, La Salle e ícaro, constituído do lote nº13 da quadra 72, do loteamento “Arnildo Jacob Loeblein”, medindo no norte, 12 metros de largura, com frente ao alinhamento da rua La Salle, lado par, fundos ao sul, com igual largura, divide com propriedade de Arnildo Jacob Loeblein, a leste mede 30 metros de frente aos fundos e divide com propriedade de Arnildo Jacob Loeblein, e ao oeste com igual comprimento, divide com propriedade de Arnildo Jacob Loeblein, distante 42 metros da esquina com a rua ícaro, que lhe fica a Oeste. Matrícula nº 31.107 do 1º Cartório de Registro de Imóveis de Novo Hamburgo/RS. Avaliação : R$ 320.009,00 (trezentos e vinte mil, e nove reais) Ônus: OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvele m trâmite na 3ª vara cível de Novo Hamburgo/RS sob o nº 5006926-58.2021.8.21.0019.",https://www.portalbayit.com.br/download/04b4a9c1-fe0e-4509-930a-f479d26442e3.pdf,OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvele m trâmite na 3ª vara cível de Novo Hamburgo/RS sob o nº 5006926-58.2021.8.21.0019.,https://www.portalbayit.com.br/imagens/1300x1300/947b3714-caec-4ba7-bece-dd86e7df83ec.png,https://www.portalbayit.com.br/imagens-center/770x620/947b3714-caec-4ba7-bece-dd86e7df83ec.png,https://www.portalbayit.com.br/imagens-complete/605x487/947b3714-caec-4ba7-bece-dd86e7df83ec.png
https://www.portalbayit.com.br/lote/cobertura-duplex-caucaia-ce/235/,800000.00,"('480000.00',)","Rua do Garrote,  10 - Tabuba - Caucaia - CE",,"200,53m²",,,,3,,,,"Cobertura Duplex  em Caucaia/CE
– Oportunidade de Investimento
Cobertura duplex espaçosa, com excelente distribuição de ambientes e área externa ideal para lazer e conforto. Imóvel localizado em condomínio com estrutura completa e portaria 24h.
Localizado na Rua do Garrote, 10, Apartamento 303 - Tabuba, Caucaia/CE.
Destaques do Imóvel:
2 Suítes
Sala de Estar
Cozinha
Área de Serviço
Banheiro Social
Varanda Gourmet com Banheira de Hidromassagem
2 Vagas de Garagem
Área privativa de 151,67m²
Lazer e Conveniência no Condomínio:
Piscina
Deck com Churrasqueira
Academia
Área de Convivência
Portaria 24h
Oportunidade ideal para investidores ou para quem busca moradia com conforto, privacidade e alto potencial de valorização.",https://www.portalbayit.com.br/download/49e5ef48-6e7e-4fe4-ad29-4a4ab52498dc.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/2888afe3-6140-4166-a1ae-7989e25aa519.jpg,https://www.portalbayit.com.br/imagens-center/770x620/2888afe3-6140-4166-a1ae-7989e25aa519.jpg,https://www.portalbayit.com.br/imagens-complete/605x487/2888afe3-6140-4166-a1ae-7989e25aa519.jpg
https://www.portalbayit.com.br/lote/casa-em-cuiaba-mt/7/,257280.00,"('77184.00',)","Rua Mangabeira,  87 - Jardim Gramado - Cuiabá - MT",,,"Imovel residencial edificado em lote de terreno urbano designado sob nº 13-C, da quadra nº13, localizado no loteamento Jardim Gramado, distrito do Coxipó, da Ponte, Cuiabá-MT, com 330,00mts2, apresentando as seguintes edida e confrontações: frente 10,00 metros para a rua 12, lado direito com/30,00 metros para o lote 13-D, lado esquerdo com 30,00 metros para o lote I: B, fundos 10,00 metros com a prop.SR. LUCIO GOMES, Havido por compra de GUIZA! DI JUNIOR ASSESSORIA IMOBILIÁRIA LTDA, conforme escritura pública de compra e venda, lavrada às fls 65V/72, do livro 254-A, em 31.03.86, no Cartório do 2º Oficio desta Capital-MT.DIVISÃO INTERNA: Sala, 02 dormitórios, banheiro e cozinha, totalizando 39,58mts2(totalizando de área construída Casa tipo 2D. PROPRIETÁRIO: JAÚ S/A-CONSTRUTORA E INCORPORADORA, com sede em São Paulo-SP, e filial à av. Getúlio Vargas 1.021, nesta Capital -MT, inscrita no CGC/MF sob nº 61.156.741/0001-56, neste ato representada pelo SR. AILTON MOURA ASSUMPÇÃO, brasileiro, casado, engenheiro, RG nº 4.842.790.SSP.SP, CPF 762.379.748.79, residente e domiciliado nesta Capital-MT, Conf. procuração lavrada às fls 26, do livro 947, em 19.08.86, no Cartório do 24º Tabelião Bel. José Ferreira Alves Cyrillo, em São Paulo-SP, neste ato o SR. AILTON MOURA ASSUMPÇÃO, está sendo representado pelo SR: ROBERTO DIONISIO DA COSTA, brasileiro, casado, economista, RG nº 6.059.523.SSP-SP, CPF 661.412.908.25, conforme procuração de 22.02.88, lavrada às fls 03V do livro 1.072 do 16º Tabelionato de Notas de São Paulo SP.","nº 36.899 do 5º Serviço Notarial e Registro de Imóveis da 2º circunscrição imobiliária da Comarca de Cuiabá - MT. Avaliação : R$ 257.280,00 (duzentos e cinquenta e sete mil, duzentos e oitenta reais)",,3,,,,"LOTE 02) IMOVEL: Imovel residencial edificado em lote de terreno urbano designado sob nº 13-C, da quadra nº13, localizado no loteamento Jardim Gramado, distrito do Coxipó, da Ponte, Cuiabá-MT, com 330,00mts2, apresentando as seguintes edida e confrontações: frente 10,00 metros para a rua 12, lado direito com/30,00 metros para o lote 13-D, lado esquerdo com 30,00 metros para o lote I: B, fundos 10,00 metros com a prop.SR. LUCIO GOMES, Havido por compra de GUIZA! DI JUNIOR ASSESSORIA IMOBILIÁRIA LTDA, conforme escritura pública de compra e venda, lavrada às fls 65V/72, do livro 254-A, em 31.03.86, no Cartório do 2º Oficio desta Capital-MT.DIVISÃO INTERNA: Sala, 02 dormitórios, banheiro e cozinha, totalizando 39,58mts2(totalizando de área construída Casa tipo 2D. PROPRIETÁRIO: JAÚ S/A-CONSTRUTORA E INCORPORADORA, com sede em São Paulo-SP, e filial à av. Getúlio Vargas 1.021, nesta Capital -MT, inscrita no CGC/MF sob nº 61.156.741/0001-56, neste ato representada pelo SR. AILTON MOURA ASSUMPÇÃO, brasileiro, casado, engenheiro, RG nº 4.842.790.SSP.SP, CPF 762.379.748.79, residente e domiciliado nesta Capital-MT, Conf. procuração lavrada às fls 26, do livro 947, em 19.08.86, no Cartório do 24º Tabelião Bel. José Ferreira Alves Cyrillo, em São Paulo-SP, neste ato o SR. AILTON MOURA ASSUMPÇÃO, está sendo representado pelo SR: ROBERTO DIONISIO DA COSTA, brasileiro, casado, economista, RG nº 6.059.523.SSP-SP, CPF 661.412.908.25, conforme procuração de 22.02.88, lavrada às fls 03V do livro 1.072 do 16º Tabelionato de Notas de São Paulo SP.
Matrícula nº 36.899 do 5º Serviço Notarial e Registro de Imóveis da 2º circunscrição imobiliária da Comarca de Cuiabá - MT. Avaliação : R$ 257.280,00 (duzentos e cinquenta e sete mil, duzentos e oitenta reais)
Ônus: OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvel em trâmite na 5ª vara cível de Cuiabá/MT sob o nº 1021046-19.2023.8.11.0041.",https://www.portalbayit.com.br/download/bcbc4885-5dc7-4677-bcb5-38043d63a280.pdf,OCUPADO. Consta em andamento ação de de usucapião tendo por objeto parte do imóvel em trâmite na 5ª vara cível de Cuiabá/MT sob o nº 1021046-19.2023.8.11.0041.,https://www.portalbayit.com.br/imagens/1300x1300/d3015b52-e4b1-42a9-bea8-03b0afca982c.png,https://www.portalbayit.com.br/imagens-center/770x620/d3015b52-e4b1-42a9-bea8-03b0afca982c.png,https://www.portalbayit.com.br/imagens-complete/605x487/d3015b52-e4b1-42a9-bea8-03b0afca982c.png
https://www.portalbayit.com.br/lote/casa-em-rio-branco-ac/6/,415000.00,"('124500.00',)","Rua Venezuela,  704 - Cadeia Velha - Rio Branco - AC",,,"Uma área de terra urbana destacada de outra porção maior, situada no ""Conjunto Habitasa"", 1º Distrito desta Capital, com área de 360,00m2 ou seja medindo 12,00m de frente ou largura por 30,00m de fundos ou comprimento, limitando-se pela frente com a Rua Venezuela; pelo lado direito com Francisco Rodrigues de Lima; pelo lado esquerdo, com João Gomes Vasconcelos; e pelos fundos com terreno de Waldomiro Pereira de Moura.",nº 1.663 do 1º Cartório de Registro de Imóveis de Rio Branco-AC .,,3,,,,"LOTE 01) IMOVEL: Uma área de terra urbana destacada de outra porção maior, situada no ""Conjunto Habitasa"", 1º Distrito desta Capital, com área de 360,00m2 ou seja medindo 12,00m de frente ou largura por 30,00m de fundos ou comprimento, limitando-se pela frente com a Rua Venezuela; pelo lado direito com Francisco Rodrigues de Lima; pelo lado esquerdo, com João Gomes Vasconcelos; e pelos fundos com terreno de Waldomiro Pereira de Moura.
Matrícula nº 1.663 do 1º Cartório de Registro de Imóveis de Rio Branco-AC .
Avaliação : R$ 415.000,00 (quatrocentos e quinze mil reais)
Ônus: OCUPADO.",https://www.portalbayit.com.br/download/fc557851-255e-4127-b0c9-f561eacffda2.pdf,OCUPADO.,https://www.portalbayit.com.br/imagens/1300x1300/8fdbba02-fd4d-4bf9-af24-e6bb02330fde.png,https://www.portalbayit.com.br/imagens-center/770x620/8fdbba02-fd4d-4bf9-af24-e6bb02330fde.png,https://www.portalbayit.com.br/imagens-complete/605x487/8fdbba02-fd4d-4bf9-af24-e6bb02330fde.png
https://www.portalbayit.com.br/lote/casa-itapetinga-sp/240/,500000.00,"('300000.00',)","Rua Zariffe Yared,  35 - Vila Belo Horizonte - Itapetininga - SP",,,,,,3,,,,"Casa em Itapetininga/SP
Localizado na Rua Professora Zarife Yared, nº 35 – Vila Belo Horizonte – Itapetininga/SP.
Destaques do Imóvel:
Sala
Cozinha
Dormitórios
Banheiros
Área de serviço
Quintal amplo",https://www.portalbayit.com.br/download/bafe1db4-814f-44ef-be74-19465ce66e71.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/bf71472e-389d-48ad-b5a2-c5982e2af50c.jpg,https://www.portalbayit.com.br/imagens-center/770x620/bf71472e-389d-48ad-b5a2-c5982e2af50c.jpg,https://www.portalbayit.com.br/imagens-complete/605x487/bf71472e-389d-48ad-b5a2-c5982e2af50c.jpg
https://www.portalbayit.com.br/lote/casa-sao-leopoldo-rs/228/,255000.00,"('153000.00',)","Avenida John Kennedy,  2781 - Jardim América - Porto Alegre - RS",,,,,,3,,,,"Casa com Terreno Amplo – São Leopoldo/RS
Localizado na Avenida John Kennedy, nº 2781 – Bairro Jardim América – São Leopoldo/RS.
Destaques do Imóvel:
Sala
Dormitórios
Banheiro
Cozinha
Área de serviço",https://www.portalbayit.com.br/download/fa0e57ac-a1a8-4a96-849d-a29f8dec0be4.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/b2d51b3e-ad8c-427b-a5de-bd9ded6abc03.jpg,https://www.portalbayit.com.br/imagens-center/770x620/b2d51b3e-ad8c-427b-a5de-bd9ded6abc03.jpg,https://www.portalbayit.com.br/imagens-complete/605x487/b2d51b3e-ad8c-427b-a5de-bd9ded6abc03.jpg
https://www.portalbayit.com.br/lote/apartamento-vila-madalena-sp/136/,1116497.59,"('1116497.59',)","Rua Harmonia,  722 - Sumarezinho - São Paulo - SP",,"134,98m²",,"51.446 deste Cartório, na qual sob nº 5 foi registrada a especificação de condomínio do referido edifício”.",,3,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0B001894C0000&processo.foro=11&processo.numero=1000507-08.2023.8.26.0011,,,"O APARTAMENTO nº 162 localizado no 16º andar do “EDÍFICIO CASA DE NAVARRA”, à Rua HARMONIA, nº 722, no 39º subdistrito, Vila Madalena, com a área útil própria de 100,20m2, área comum de 34,782 m2 e área total de 134,982 m2, correspondendo-lhe a fração ideal de 1,2309% no terreno descrito na matrícula 51.446 deste Cartório, na qual sob nº 5 foi registrada a especificação de condomínio do referido edifício”.
MATRÍCULA:
57.993, do 10º Cartório de Registro de Imóveis de São Paulo Capital;
b)
“UMA VAGA indeterminada na garagem localizada nos 1º e 2º subsolos e parte do andar térreo do “EDIFÍCIO CASA DE NAVARRA, à Rua HARMONIA nº 722, no 39º subdistrito, Vila Madalena, com a área útil própria de 10m2, área comum de 20,972 m2 e área total de 30,972 m2, cabendo-lhe a fração ideal de 0,1632% no terreno descrito na matrícula 51.446 deste Cartório, na qual sob o nº 5 foi registrada a especificação de condomínio do referido edifício”.
MATRÍCULA:
57.994, do 10º Cartório de Registro de Imóveis de São Paulo Capital;
c)
“UMA VAGA indeterminada na garagem localizada nos 1º e 2º subsolos e parte do andar térreo do “EDIFÍCIO CASA DE NAVARRA, à Rua HARMONIA nº 722, no 39º subdistrito, Vila Madalena, com a área útil própria de 10m2, área comum de 20,972 m2 e área total de 30,972 m2, cabendo-lhe a fração ideal de 0,1632% no terreno descrito na matrícula 51.446 deste Cartório, na qual sob o nº 5 foi registrada a especificação de condomínio do referido edifício”.
MATRÍCULA:
57.995, do 10º Cartório de Registro de Imóveis de São Paulo Capital;
CONTRIBUINTE:
081.136.0344-1",https://www.portalbayit.com.br/download/0ad32c66-d45d-47bf-aa9e-bff0d3ead3ee.pdf,,https://www.portalbayit.com.br/imagens/1300x1300/7bb3723b-6261-4b6d-9e83-2abf05e4f662.jpeg,https://www.portalbayit.com.br/imagens-center/770x620/7bb3723b-6261-4b6d-9e83-2abf05e4f662.jpeg,https://www.portalbayit.com.br/imagens-complete/605x487/7bb3723b-6261-4b6d-9e83-2abf05e4f662.jpeg
