url,endereco,avaliacao,bem,lance_minimo,matricula,metragem_total,metragem_util,observacoes,processo_link
https://www.portalbayit.com.br/lote/loja-comercial-sao-paulo-sp/298/,"Rua Cristiano Viana,  1216 a 1246 - Vila Madalena - São Paulo - SP","R$ 920.000,00",,"R$ 499.000,00",,"56,47m²","53,93m²",,
https://www.portalbayit.com.br/lote/apartamento-no-rio-de-janeiro-rj/15/,"Rua Magno Martins,  240 - Freguesia (Ilha do Governador) - Rio de Janeiro - RJ","R$ 285.000,00",,"R$ 85.500,00",,,,,
https://www.portalbayit.com.br/lote/casa-sao-carlos-sp/236/,"Rua Rheda Widenbruck,  60 - Residencial Samambaia - São Carlos - SP","R$ 300.000,00",,"R$ 180.000,00",,,,,
https://www.portalbayit.com.br/lote/conjunto-comercial-sao-paulo-sp/244/,"Rua Lincoln Albuquerque,  259 - Perdizes - São Paulo - SP","R$ 997.000,00",,"R$ 548.350,00",,"194,59m²","105,11m²",,
https://www.portalbayit.com.br/lote/conjunto-comercial-porto-alegre-rs/232/,"Avenida Assis Brasil,  1791 - Passo da Areia - Porto Alegre - RS","R$ 341.400,00",,"R$ 175.000,00",,"164,28m²","113,80m²",,
https://www.portalbayit.com.br/lote/terreno-–-sao-jose-dos-campos-sp/286/,"Rua Doutor Wanderson Amorim dos Santos,  Residencial Dunamis - São José dos Campos - SP","R$ 180.000,00",,"R$ 90.000,00",,,,,
https://www.portalbayit.com.br/lote/casa-itaiopolis-sc/229/,"Rua Cel. Antônio Correa,  2743 - Bom Jesus - Itaiópolis - SC","R$ 290.000,00",,"R$ 174.000,00",,,,,
https://www.portalbayit.com.br/lote/gleba-de-terras-cunha-sp/272/,,"R$ 368.269,30",,"R$ 368.269,30",,,,,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=4F0000LUE0000&processo.foro=159&processo.numero=1000714-19.2021.8.26.0159
https://www.portalbayit.com.br/lote/casa-em-rio-branco-ac/6/,"Rua Venezuela,  704 - Cadeia Velha - Rio Branco - AC","R$ 415.000,00",,"R$ 124.500,00",,,,,
https://www.portalbayit.com.br/lote/casa-sao-goncalo-rj/224/,"Avenida Doutor Eugênio Borges,  1693 - Arsenal - São Gonçalo - RJ","R$ 590.000,00",,"R$ 354.000,00",,,,,
https://www.portalbayit.com.br/lote/apartamento-vila-madalena-sp/136/,"Rua Harmonia,  722 - Sumarezinho - São Paulo - SP","R$ 1.116.497,59",,"R$ 1.116.497,59",,"134,98m²",,,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0B001894C0000&processo.foro=11&processo.numero=1000507-08.2023.8.26.0011
https://www.portalbayit.com.br/lote/casa-ourinhos-sp/225/,"Rua Celso Francisco Barbosa,  101 - Jardim Anchieta - Ourinhos - SP","R$ 365.000,00",,"R$ 200.750,00",,,,,
https://www.portalbayit.com.br/lote/apartamento-bauru-sp/119/,"Rua Sargento Leôncio Ferreira dos Santos,  1-31 - Parque Roosevelt - Bauru - SP","R$ 163.081,48",,"R$ 114.157,03",124.865 do 2º Cartório de Registro de Imóveis da Comarca de Bauru/SP.,"62,00m²",,,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1Z000H6S10000&processo.foro=71&processo.numero=1006986-65.2022.8.26.0071
https://www.portalbayit.com.br/lote/terreno-–-sao-jose-dos-campos-sp/291/,"Rua Dorotéia Pereira de Carvalho Rosa,  Residencial Dunamis - São José dos Campos - SP","R$ 136.600,00",,"R$ 68.300,00",,,,,
