tipo_imovel,endereco,Link,rotulo,Valor (R$),Data,ocupado,Matrícula,Link do Processo,leiloeiro,Visitação,Formas de Pagamento,Direito de Preferência,Descrição do imóvel,Observações Gerais,Observações Adicionais,Status de Ocupação,Direitos do Compromissário,Andar,Detalhes dos Direitos,Link Saiba Mais,Link do Processo Judicial,Metragem construída,Metragem privativa,Metragem terreno,Metragem total,Metragem útil,Quartos,Status Leilão,Total_Fotos,Vagas
N/A,"Goiânia / GO - Parque Anhanguera Avenida de Contorno Sul,  s/nº",https://www.portalzuk.com.br/imovel/go/goiania/parque-anhanguera/avenida-de-contorno-sul-s-nº/33569-205939,1º leilão,974462.84,16/07/2025 às 10:30,Este imóvel encontra-se ocupado no momento.,63.562 do 1º CRI -  Goiânia/GO,,Banco Original,N/A,,,N/A,"Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.","Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-original,,,"537,25m²",,,,Imóvel ocupado,0,
N/A,"Goiânia / GO - Parque Anhanguera Avenida de Contorno Sul,  s/nº",https://www.portalzuk.com.br/imovel/go/goiania/parque-anhanguera/avenida-de-contorno-sul-s-nº/33569-205939,2º leilão,1038081.64,18/07/2025 às 10:30,Este imóvel encontra-se ocupado no momento.,63.562 do 1º CRI -  Goiânia/GO,,Banco Original,N/A,,,N/A,"Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.","Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-original,,,"537,25m²",,,,Imóvel ocupado,0,
N/A,"Campinas / SP - Chácara Formosa Rua Magali Zacarias de Souza,  756",https://www.portalzuk.com.br/imovel/sp/campinas/chacara-formosa/rua-magali-zacarias-de-souza-756/33503-205284,1º leilão,2404482.21,16/07/2025 às 10:30,Este imóvel encontra-se ocupado no momento.,117.889 do 33º CRI -  Campinas/SP,,Outros Comitentes,N/A,,,N/A,"(I) Consta conforme Avs.16, 17, 18, 19, 20 e 21, Ação de Execução de Título Extrajudicial. (II) Consta conforme Avs.22 e 23, penhora onde a Av.24 corrigiu as citadas penhoras para que recaíssem sobre os direitos e obrigações decorrentes da Alienação Fiduciária, cuja baixa/regularização será de responsabilidade do arrematante. (III) Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.","(I) Consta conforme Avs.16, 17, 18, 19, 20 e 21, Ação de Execução de Título Extrajudicial. (II) Consta conforme Avs.22 e 23, penhora onde a Av.24 corrigiu as citadas penhoras para que recaíssem sobre os direitos e obrigações decorrentes da Alienação Fiduciária, cuja baixa/regularização será de responsabilidade do arrematante. (III) Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/outros-comitentes,"946,80m²",,"355,56m²",,,,Imóvel ocupado,0,
N/A,"Campinas / SP - Chácara Formosa Rua Magali Zacarias de Souza,  756",https://www.portalzuk.com.br/imovel/sp/campinas/chacara-formosa/rua-magali-zacarias-de-souza-756/33503-205284,2º leilão,1794340.6125,18/07/2025 às 10:30,Este imóvel encontra-se ocupado no momento.,117.889 do 33º CRI -  Campinas/SP,,Outros Comitentes,N/A,,,N/A,"(I) Consta conforme Avs.16, 17, 18, 19, 20 e 21, Ação de Execução de Título Extrajudicial. (II) Consta conforme Avs.22 e 23, penhora onde a Av.24 corrigiu as citadas penhoras para que recaíssem sobre os direitos e obrigações decorrentes da Alienação Fiduciária, cuja baixa/regularização será de responsabilidade do arrematante. (III) Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.","(I) Consta conforme Avs.16, 17, 18, 19, 20 e 21, Ação de Execução de Título Extrajudicial. (II) Consta conforme Avs.22 e 23, penhora onde a Av.24 corrigiu as citadas penhoras para que recaíssem sobre os direitos e obrigações decorrentes da Alienação Fiduciária, cuja baixa/regularização será de responsabilidade do arrematante. (III) Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/outros-comitentes,"946,80m²",,"355,56m²",,,,Imóvel ocupado,0,
N/A,"Rio Grande da Serra / SP - Vila Marcos Rua Santo Antônio ,  s/nº",https://www.portalzuk.com.br/imovel/sp/rio-grande-da-serra/vila-marcos/rua-santo-antonio-s-nº/33252-203548,1º leilão,849566.92,26/06/2025 às 10:50,Este imóvel encontra-se ocupado no momento.,"31.200 do 1º CRI -  Ribeirão Pires/SP
                                      -  Nº Contribuinte: 4336422540328000001",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 05/12/2024 sobre o Imóvel recaem R$ 174.747,04 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.","1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 05/12/2024 sobre o Imóvel recaem R$ 174.747,04 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,,,"13.507,13m²",,,,Imóvel ocupado,0,
N/A,"Rio Grande da Serra / SP - Vila Marcos Rua Santo Antônio ,  s/nº",https://www.portalzuk.com.br/imovel/sp/rio-grande-da-serra/vila-marcos/rua-santo-antonio-s-nº/33252-203548,2º leilão,425887.9050,16/07/2025 às 10:50,Este imóvel encontra-se ocupado no momento.,"31.200 do 1º CRI -  Ribeirão Pires/SP
                                      -  Nº Contribuinte: 4336422540328000001",,Judicial de São Paulo - TJSP,N/A,,,N/A,"1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 05/12/2024 sobre o Imóvel recaem R$ 174.747,04 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.","1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 05/12/2024 sobre o Imóvel recaem R$ 174.747,04 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,,,"13.507,13m²",,,,Imóvel ocupado,0,
N/A,"Goiânia / GO - Vila Rosa Avenida Marialva,  S/n",https://www.portalzuk.com.br/imovel/go/goiania/vila-rosa/avenida-marialva-s-n/33521-205538,1º leilão,320000.00,16/07/2025 às 11:00,Este imóvel encontra-se ocupado no momento.,337.329 do 1º CRI -  Goiânia/GO,,Itaú Unibanco S.A,N/A,,,N/A,"Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.","Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,,,,"97,18m²","69,39m²",,Imóvel ocupado,0,1
N/A,"Goiânia / GO - Vila Rosa Avenida Marialva,  S/n",https://www.portalzuk.com.br/imovel/go/goiania/vila-rosa/avenida-marialva-s-n/33521-205538,2º leilão,247523.5523,30/07/2025 às 11:00,Este imóvel encontra-se ocupado no momento.,337.329 do 1º CRI -  Goiânia/GO,,Itaú Unibanco S.A,N/A,,,N/A,"Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.","Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,,,,"97,18m²","69,39m²",,Imóvel ocupado,0,1
N/A,"Uberlândia / MG - Parque Santo Antônio Rua Neilton Cobo Victor,  591",https://www.portalzuk.com.br/imovel/mg/uberlandia/parque-santo-antonio/rua-neilton-cobo-victor-591/33395-204630,1º leilão,423781.11,02/07/2025 às 11:00,Este imóvel encontra-se ocupado no momento.,64.630 do 2º CRI -  Uberlândia/MG,,Itaú Unibanco S.A,N/A,,,N/A,"(I) Imóvel com área construída estimada de 127,27m², situado na Rua Neilton Cobo Victor. Eventual necessidade de regularização perante os órgãos competentes, correrá por conta do comprador. (II) Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.","(I) Imóvel com área construída estimada de 127,27m², situado na Rua Neilton Cobo Victor. Eventual necessidade de regularização perante os órgãos competentes, correrá por conta do comprador. (II) Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,"127,27m²",,"250,00m²",,,,Imóvel ocupado,0,
N/A,"Uberlândia / MG - Parque Santo Antônio Rua Neilton Cobo Victor,  591",https://www.portalzuk.com.br/imovel/mg/uberlandia/parque-santo-antonio/rua-neilton-cobo-victor-591/33395-204630,2º leilão,211890.5650,16/07/2025 às 11:00,Este imóvel encontra-se ocupado no momento.,64.630 do 2º CRI -  Uberlândia/MG,,Itaú Unibanco S.A,N/A,,,N/A,"(I) Imóvel com área construída estimada de 127,27m², situado na Rua Neilton Cobo Victor. Eventual necessidade de regularização perante os órgãos competentes, correrá por conta do comprador. (II) Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.","(I) Imóvel com área construída estimada de 127,27m², situado na Rua Neilton Cobo Victor. Eventual necessidade de regularização perante os órgãos competentes, correrá por conta do comprador. (II) Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,,,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,"127,27m²",,"250,00m²",,,,Imóvel ocupado,0,
