Lote,Endereco,link,Titulo,Descricao,Total_Fotos,Rotulo,Valor (R$),Data
Terreno,"Uberlândia / MG - Loteamento Convencional Residencial Colinas do Sul Rua Cs-15,  S/n",https://www.portalzuk.com.br/imovel/mg/uberlandia/loteamento-convencional-residencial-colinas-do-sul/rua-cs_15-s-n/33531-205584,Apartamento à venda em leilão,,0,1º leilão,336478.25,14/07/2025 às 10:00
Terreno,"Uberlândia / MG - Loteamento Convencional Residencial Colinas do Sul Rua Cs-15,  S/n",https://www.portalzuk.com.br/imovel/mg/uberlandia/loteamento-convencional-residencial-colinas-do-sul/rua-cs_15-s-n/33531-205584,Apartamento à venda em leilão,,0,2º leilão,320266.575,28/07/2025 às 10:00
Apartamento,"São Paulo / SP - Santa Etelvina Rua Senador Nelson Carneiro,  172",https://www.portalzuk.com.br/imovel/sp/sao-paulo/santa-etelvina/rua-senador-nelson-carneiro-172/33480-205179,Apartamento à venda em leilão,,0,1º leilão,122000.00,14/07/2025 às 10:00
Apartamento,"São Paulo / SP - Santa Etelvina Rua Senador Nelson Carneiro,  172",https://www.portalzuk.com.br/imovel/sp/sao-paulo/santa-etelvina/rua-senador-nelson-carneiro-172/33480-205179,Apartamento à venda em leilão,,0,2º leilão,124662.28,28/07/2025 às 10:00
Apartamento,"São Paulo / SP - Conjunto Habitacional Santa Etelvina Ii Rua Dona Eloá do Valle Quadros,  605",https://www.portalzuk.com.br/imovel/sp/sao-paulo/conjunto-habitacional-santa-etelvina-ii/rua-dona-eloa-do-valle-quadros-605/33480-205180,Apartamento à venda em leilão,,0,1º leilão,121900.00,14/07/2025 às 10:01
Apartamento,"São Paulo / SP - Conjunto Habitacional Santa Etelvina Ii Rua Dona Eloá do Valle Quadros,  605",https://www.portalzuk.com.br/imovel/sp/sao-paulo/conjunto-habitacional-santa-etelvina-ii/rua-dona-eloa-do-valle-quadros-605/33480-205180,Apartamento à venda em leilão,,0,2º leilão,138729.68,28/07/2025 às 10:01
Casa,"Centro Novo do Maranhão / MA - Farol Rua São Sebastião,  59",https://www.portalzuk.com.br/imovel/ma/centro-novo-do-maranhao/farol/rua-sao-sebastiao-59/33445-205005,Apartamento à venda em leilão,,0,Lance inicial,40000.00,14/07/2025 às 10:02
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Francisco José Viana,  513",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-francisco-jose-viana-513/33480-205589,Apartamento à venda em leilão,,0,1º leilão,114700.00,14/07/2025 às 10:02
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Francisco José Viana,  513",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-francisco-jose-viana-513/33480-205589,Apartamento à venda em leilão,,0,2º leilão,76888.6533,28/07/2025 às 10:02
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Jorge Fernandes de Oliveira,  539",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-jorge-fernandes-de-oliveira-539/33480-205590,Apartamento à venda em leilão,,0,1º leilão,115300.00,14/07/2025 às 10:03
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Jorge Fernandes de Oliveira,  539",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-jorge-fernandes-de-oliveira-539/33480-205590,Apartamento à venda em leilão,,0,2º leilão,89812.3822,28/07/2025 às 10:03
