leilao,titulo,preco,endereco
Leilão 27152 - 001,prédio industrial (desocupado)  - aeródromo vale eldorado - bragança paulista - sp,1.500.000,prédio industrial
Leilão 27158 - 001,imóvel residencial com 3 edificações - vila antonieta - são paulo - sp,1.237.062,
Leilão 27163 - 001,apartamento duplex (desocupado)  - morumbi - são paulo - sp,750.000,apartamento duplex
Leilão 27243 - 002,terreno - parque aquático lindóia i - lindóia - sp,43.434,
Leilão 23756 - 047,prédio - centro - santos - sp,536.250,
Leilão 23756 - 048,apartamento residencial - centro - mogi das cruzes - sp,295.875,
Leilão 23756 - 052,loja comercial - aclimação - são paulo - sp,900.000,
Leilão 23756 - 057,terreno - torre - joão pessoa - pb,7.498.852,
Leilão 23756 - 061,apartamento - santana - porto alegre - rs,300.000,
Leilão 23756 - 062,apartamento - santana - porto alegre - rs,300.000,
Leilão 23756 - 076,loja de shopping - centro - niterói - rj,255.000,
Leilão 23756 - 077,loja de shopping - centro - niterói - rj,289.000,
Leilão 23756 - 078,sala comercial - bela vista - são paulo - sp,4.000.000,
Leilão 23756 - 082,galpão comercial - jardim andaraí - são paulo - sp,2.900.000,
Leilão 23756 - 093,vaga de garagem - bela vista - são paulo - sp,75.000,
Leilão 23756 - 094,vaga de garagem - bela vista - são paulo - sp,75.000,
Leilão 23756 - 095,vaga de garagem - bela vista - são paulo - sp,75.000,
Leilão 23756 - 096,vaga de garagem - bela vista - são paulo - sp,75.000,
Leilão 23756 - 097,vaga de garagem - bela vista - são paulo - sp,75.000,
Leilão 23756 - 098,apartamento - boa viagem - recife - pe,472.500,
Leilão 23756 - 099,apartamento - higienópolis - são paulo - sp,588.000,
Leilão 23756 - 100,apartamento - pitangueiras - guarujá - sp,750.000,
Leilão 23756 - 102,apartamento - boa viagem - recife - pe,250.000,
Leilão 23756 - 103,apartamento - indianópolis - são paulo - sp,1.500.631,
Leilão 27177 - 001,imóvel residencial - jardim cambui - santo andré - sp,493.863,
Leilão 27258 - 001,lote de terreno - jardim miriam - são paulo - sp,660.500,
Leilão 27199 - 001,imóvel rural (desocupado)  - vila germana - caçapava - sp,6.000.000,imóvel rural
Leilão 27200 - 001,prédio - indianópolis - são paulo - sp,2.435.194,
Leilão 27201 - 001,direitos sobre lote de terreno - jd. fazenda rincao - arujá - sp,804.396,
Leilão 27280 - 001,terreno urbano - granja caiapia - cotia - sp,260.661,
Leilão 27234 - 001,terreno urbano (desocupado)  - country club - valinhos - sp,1.600.000,terreno urbano
Leilão 27283 - 001,casa tipo sobrado - morumbi - são paulo - sp,1.850.000,casa tipo sobrado
Leilão 27230 - 001,apartamento - mirandópolis - são paulo - sp,629.378,
Leilão 27268 - 001,sala comercial (desocupado)  - pacaembu - são paulo - sp,320.000,sala comercial
Leilão 27236 - 001,imóvel comercial - triângulo - pindamonhangaba - sp,29.651.662,
Leilão 27237 - 001,imóvel residencial tipo sobrado - convívio do santo - porto feliz - sp,253.050,
Leilão 27281 - 001,sala comercial (desocupado)  - centro - rio de janeiro - rj,482.400,sala comercial
Leilão 27281 - 002,sala comercial (desocupado)  - centro - rio de janeiror - rj,482.400,sala comercial
Leilão 27281 - 003,sala comercial (desocupado)  - centro - rio de janeiro - rj,482.400,sala comercial
Leilão 27281 - 004,sobreloja (desocupado)  - centro - rio de janeiro - rj,200.000,sobreloja
Leilão 27281 - 005,sala comercial (desocupado)  - centro - rio de janeiro - rj,144.000,sala comercial
Leilão 27281 - 006,sala comercial - centro - rio de janeiro - rj,164.800,sala comercial
Leilão 27281 - 007,salas comerciais (desocupado)  - centro - rio de janeiro - rj,360.000,salas comerciais
Leilão 27289 - 001,apartamento - mirandópolis - são paulo - sp,396.618,
Leilão 27289 - 002,apartamento - mirandópolis - são paulo - sp,346.914,
Leilão 27289 - 003,apartamento - mirandópolis - são paulo - sp,450.379,
Leilão 27289 - 004,apartamento - mirandópolis - são paulo - sp,460.523,
Leilão 27033 - 001,casa (desocupado)  - siriúba - ilha bela - sp,6.000.000,casa
