Rotulo,Valor (R$),Data,Lote,Endereco,link,Andar,Metragem construída,Metragem privativa,Metragem terreno,Metragem total,Metragem útil,Quartos,Vagas
1º leilão,"171.407,12",07/04/2025 às 10:10,Apartamento,"São Vicente / SP - Parque São Vicente Rua Carlos Gomes,  69",https://www.portalzuk.com.br/imovel/sp/sao-vicente/parque-sao-vicente/rua-carlos-gomes-69/32443-198209,3,,,,"64,24m²","51,80m²",,
2º leilão," 103.502,4840",28/04/2025 às 10:10,Apartamento,"São Vicente / SP - Parque São Vicente Rua Carlos Gomes,  69",https://www.portalzuk.com.br/imovel/sp/sao-vicente/parque-sao-vicente/rua-carlos-gomes-69/32443-198209,3,,,,"64,24m²","51,80m²",,
1º leilão,"
                      454.468,57",28/04/2025 às 10:20,Apartamento,"São Paulo / SP - Barra Funda Rua Lopes de Oliveira,  112",https://www.portalzuk.com.br/imovel/sp/sao-paulo/barra-funda/rua-lopes-de-oliveira-112/32771-200361,,,,,"108,76m²","64,13m²",3,1
2º leilão," 272.681,1440",19/05/2025 às 10:20,Apartamento,"São Paulo / SP - Barra Funda Rua Lopes de Oliveira,  112",https://www.portalzuk.com.br/imovel/sp/sao-paulo/barra-funda/rua-lopes-de-oliveira-112/32771-200361,,,,,"108,76m²","64,13m²",3,1
1º leilão,"
                      978.616,45",28/04/2025 às 10:30,Casa,"Brasília / DF - Candangolândia Quadra Qr 2,  S/n",https://www.portalzuk.com.br/imovel/df/brasilia/candangolandia/quadra-qr-2-s-n/32909-201284,,"31,35m²",,"123,15m²",,,,
2º leilão," 499.094,3949",05/05/2025 às 10:30,Casa,"Brasília / DF - Candangolândia Quadra Qr 2,  S/n",https://www.portalzuk.com.br/imovel/df/brasilia/candangolandia/quadra-qr-2-s-n/32909-201284,,"31,35m²",,"123,15m²",,,,
1º leilão,"
                      332.132,79",28/04/2025 às 10:30,Casa,"Campinas / SP - Aero Continental Rua João José Pereira,  56",https://www.portalzuk.com.br/imovel/sp/campinas/aero-continental/rua-joao-jose-pereira-56/32856-200703,,"154,00m²",,"295,00m²",,,,
2º leilão," 166.066,4050",20/05/2025 às 10:30,Casa,"Campinas / SP - Aero Continental Rua João José Pereira,  56",https://www.portalzuk.com.br/imovel/sp/campinas/aero-continental/rua-joao-jose-pereira-56/32856-200703,,"154,00m²",,"295,00m²",,,,
1º leilão,"
                      200.300,87",28/04/2025 às 10:40,Apartamento,"Campinas / SP - Vila União Rua da Padroeira,  935",https://www.portalzuk.com.br/imovel/sp/campinas/vila-uniao/rua-da-padroeira-935/32779-200380,1,,,,"57,06m²","51,71m²",2,1
2º leilão," 170.255,7415",19/05/2025 às 10:40,Apartamento,"Campinas / SP - Vila União Rua da Padroeira,  935",https://www.portalzuk.com.br/imovel/sp/campinas/vila-uniao/rua-da-padroeira-935/32779-200380,1,,,,"57,06m²","51,71m²",2,1
1º leilão,"
                      289.122,24",28/04/2025 às 10:50,Terreno,"Cajati / SP - Vila Antunes Avenida João Felizardo,  s/nº",https://www.portalzuk.com.br/imovel/sp/cajati/vila-antunes/avenida-joao-felizardo-s-nº/32780-200381,,,,"2.599,94m²",,,,
2º leilão," 144.561,1250",19/05/2025 às 10:50,Terreno,"Cajati / SP - Vila Antunes Avenida João Felizardo,  s/nº",https://www.portalzuk.com.br/imovel/sp/cajati/vila-antunes/avenida-joao-felizardo-s-nº/32780-200381,,,,"2.599,94m²",,,,
1º leilão,"282.852,39",14/04/2025 às 11:00,Apartamento,"Guarulhos / SP - Parque Primavera Estrada do Zirconio,  840",https://www.portalzuk.com.br/imovel/sp/guarulhos/parque-primavera/estrada-do-zirconio-840/32718-200177,7,,,,"60,91m²","45,25m²",,1
2º leilão," 141.426,2050",28/04/2025 às 11:00,Apartamento,"Guarulhos / SP - Parque Primavera Estrada do Zirconio,  840",https://www.portalzuk.com.br/imovel/sp/guarulhos/parque-primavera/estrada-do-zirconio-840/32718-200177,7,,,,"60,91m²","45,25m²",,1
1º leilão,"
                      599.813,33",28/04/2025 às 11:00,Casa,"São Paulo / SP - Penha de França Rua Moliterno,  281",https://www.portalzuk.com.br/imovel/sp/sao-paulo/penha-de-franca/rua-moliterno-281/32781-200382,,,,"224,00m²",,,,
