Rotulo,Valor (R$),Data,Lote,Endereco,Andar,Descrição do imóvel,Direito de Preferencia,Direitos do Compromissario Comprador,Link do processo,Matricula do imovel,Metragem construída,Metragem terreno,Metragem total,Metragem útil,Observacoes,Quartos,Situacao,Vagas,Visitacao
Lance inicial,245000.0022,03/06/2025 às 10:00,Casa,"Várzea Grande / MT - Jardim Ikaray Rua Santana,  S/n",,,,,,,,,,,,,,,
1º leilão,134095.58,13/05/2025 às 10:10,Apartamento,"Araçatuba / SP - Chácaras Patrimônio Santana Rua Aviação,  777",,,,,,,,,,,,,,,
2º leilão,67336.0950,03/06/2025 às 10:10,Apartamento,"Araçatuba / SP - Chácaras Patrimônio Santana Rua Aviação,  777",,À Vista e sem desconto.,114.146 do 1º CRI -  Várzea Grande/MT,Este imóvel encontra-se ocupado no momento.,https://www.portalzuk.com.br/blog/glossario,114.146 do 1º CRI -  Várzea Grande/MT,"80,00m²","271,10m²",,,"Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,Imóvel ocupado,,"Casa, situada na Rua Santana, s/nº, Área B da Quadra 38, Loteamento Jardim Novo Horizonte, Jardim Ikaray. Área terreno: 271,10m², Área construída: 80,00m². Matrícula n° 114.146 do 1° RI local.Matrícula do imóvel:114.146 do 1º CRI -  Várzea Grande/MT"
1º leilão,623446.86,13/05/2025 às 10:20,Casa,"Guarulhos / SP - Jardim Rosa de Franca Rua Manoel Augusto Gomes,  270",,,,,,,,,,,,,,,
2º leilão,469595.7625,03/06/2025 às 10:20,Casa,"Guarulhos / SP - Jardim Rosa de Franca Rua Manoel Augusto Gomes,  270",,,,,,,,,,,,,,,
Lance inicial,387000.00,03/06/2025 às 10:30,Sala Comercial,"Manaus / AM - Adrianópolis Rua Salvador,  120",,,,,,,,,,,,,,,
1º leilão,309867.67,03/06/2025 às 10:40,Casa,"Mogi Mirim / SP - Mirante Rodovia Luiz Gonzaga de Amoedo Campos,  720",,,,,,,,,,,,,,,
2º leilão,185920.6040,23/06/2025 às 10:40,Casa,"Mogi Mirim / SP - Mirante Rodovia Luiz Gonzaga de Amoedo Campos,  720",,,,,,,,,,,,,,,
1º leilão,136520.00,23/05/2025 às 11:00,Terreno,"Itatiba / SP - Loteamento Jardim das Paineiras Avenida Guido Monte,  S/n",,,,,,,,,,,,,,,
2º leilão,105542.1323,03/06/2025 às 11:00,Terreno,"Itatiba / SP - Loteamento Jardim das Paineiras Avenida Guido Monte,  S/n",,,,,,,,,,,,,,,
